task_id,sc_id,time_first_known,sc_start_time,container_start_time,finish_time,distance_to_container,time_to_container,travel_time,idle_time,origin_location,destination_location,sc_total_distance,container_distance
CO_TFTU000238,SC020,2024-08-21 07:54:00,2024-08-21 07:53:27,2024-08-21 07:54:00,2024-08-21 07:54:51,182193,32.798019801980196,84.34491449144915,0,QC005,WS004.01,468536,286343
CO_TFTU000245,SC020,2024-08-21 07:58:00,2024-08-21 07:57:45,2024-08-21 07:58:00,2024-08-21 07:58:47,82176,14.793159315931593,61.81422142214221,0,QC004,WS004.01,343378,261202
CO_TFTU000024,SC020,2024-08-21 07:05:00,2024-08-21 07:04:27,2024-08-21 07:05:00,2024-08-21 07:06:00,182193,32.798019801980196,93.34581458145814,0,QC005,WS007.01,518536,336343
CO_TFTU000027,SC020,2024-08-21 07:05:00,2024-08-21 07:04:09,2024-08-21 07:05:00,2024-08-21 07:06:18,282637,50.87974797479748,129.5092709270927,0,QC006,WS007.01,719424,436787
CO_TFTU000190,SC020,2024-08-21 07:39:00,2024-08-21 07:37:51,2024-08-21 07:39:00,2024-08-21 07:40:36,382227,68.8077407740774,165.36525652565257,0,QC007,WS007.01,918604,536377
CO_TFTU000230,SC020,2024-08-21 07:50:00,2024-08-21 07:49:09,2024-08-21 07:50:00,2024-08-21 07:51:18,282637,50.87974797479748,129.5092709270927,0,QC006,WS007.01,719424,436787
CO_TFTU000232,SC020,2024-08-21 07:51:00,2024-08-21 07:50:27,2024-08-21 07:51:00,2024-08-21 07:52:00,182193,32.798019801980196,93.34581458145814,0,QC005,WS007.01,518536,336343
CO_TFTU000250,SC020,2024-08-21 07:59:00,2024-08-21 07:58:27,2024-08-21 07:59:00,2024-08-21 08:00:00,182193,32.798019801980196,93.34581458145814,0,QC005,WS007.01,518536,336343
CO_TFTU000278,SC020,2024-08-21 08:07:00,2024-08-21 08:06:27,2024-08-21 08:07:00,2024-08-21 08:08:00,182193,32.798019801980196,93.34581458145814,0,QC005,WS007.01,518536,336343
CO_TFTU000017,SC020,2024-08-21 07:03:00,2024-08-21 07:02:27,2024-08-21 07:03:00,2024-08-21 07:04:00,182193,32.798019801980196,93.34581458145814,0,QC005,WS007.01,518536,336343
CO_TFTU000102,SC020,2024-08-21 07:17:00,2024-08-21 07:16:09,2024-08-21 07:17:00,2024-08-21 07:18:27,282637,50.87974797479748,138.5101710171017,0,QC006,WS008.01,769424,486787
CO_TFTU000119,SC020,2024-08-21 07:20:00,2024-08-21 07:19:09,2024-08-21 07:20:00,2024-08-21 07:21:27,282637,50.87974797479748,138.5101710171017,0,QC006,WS008.01,769424,486787
CO_TFTU000124,SC020,2024-08-21 07:21:00,2024-08-21 07:20:27,2024-08-21 07:21:00,2024-08-21 07:22:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
CO_TFTU000135,SC020,2024-08-21 07:24:00,2024-08-21 07:23:09,2024-08-21 07:24:00,2024-08-21 07:25:27,282637,50.87974797479748,138.5101710171017,0,QC006,WS008.01,769424,486787
CO_TFTU000154,SC020,2024-08-21 07:28:00,2024-08-21 07:27:27,2024-08-21 07:28:00,2024-08-21 07:29:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
CO_TFTU000161,SC020,2024-08-21 07:30:00,2024-08-21 07:29:27,2024-08-21 07:30:00,2024-08-21 07:31:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
CO_TFTU000181,SC020,2024-08-21 07:37:00,2024-08-21 07:36:27,2024-08-21 07:37:00,2024-08-21 07:38:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
CO_TFTU000193,SC020,2024-08-21 07:40:00,2024-08-21 07:39:27,2024-08-21 07:40:00,2024-08-21 07:41:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
CO_TFTU000203,SC020,2024-08-21 07:43:00,2024-08-21 07:42:27,2024-08-21 07:43:00,2024-08-21 07:44:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
