task_id,sc_id,time_first_known,sc_start_time,container_start_time,finish_time,distance_to_container,time_to_container,travel_time,idle_time,penalty_time,origin_location,destination_location,sc_total_distance,container_distance,sc_travel_time,container_travel_time
CO_TFTU000038,SC001,2024-08-21 07:07:00,2024-08-21 07:06:18,2024-08-21 07:07:55,2024-08-21 07:09:22,536377,96.55751575157515,184.1141314131413,0.0,0,QC007,WS004.01,1022754,486377,184.1141314131413,87.55661566156616
CO_TFTU000036,SC009,2024-08-21 07:07:00,2024-08-21 07:06:37,2024-08-21 07:07:38,2024-08-21 07:09:05,336343,60.54779477947795,148.0982898289829,0.0,0,QC005,WS010.01,822686,486343,148.0982898289829,87.55049504950495
CO_TFTU000039,SC014,2024-08-21 07:07:00,2024-08-21 07:06:00,2024-08-21 07:07:46,2024-08-21 07:09:13,586833,105.64050405040504,193.2792079207921,0.0,0,RAIL001.01,WS003.01,1073666,486833,193.2792079207921,87.63870387038703
CO_TFTU000035,SC012,2024-08-21 07:07:00,2024-08-21 07:05:14,2024-08-21 07:07:00,2024-08-21 07:08:27,586343,105.55229522952295,193.10279027902791,70.813681,0,QC005,WS010.01,1072686,486343,193.10279027902791,87.55049504950495
CO_TFTU000034,SC020,2024-08-21 07:07:00,2024-08-21 07:05:01,2024-08-21 07:07:00,2024-08-21 07:07:46,660685,118.93519351935194,165.86318631863188,195.512511,0,QC003,WS002.01,921370,260685,165.86318631863188,46.92799279927993
CO_TFTU000041,SC020,2024-08-21 07:08:00,2024-08-21 07:07:46,2024-08-21 07:08:20,2024-08-21 07:10:51,186343,33.54509450945095,184.1018901890189,0.0,0,QC005,WS017.01,1022686,836343,184.1018901890189,150.55679567956795
CO_TFTU000040,SC007,2024-08-21 07:08:00,2024-08-21 07:07:12,2024-08-21 07:08:58,2024-08-21 07:10:44,586343,105.55229522952295,211.1045904590459,0.0,0,QC005,WS012.01,1172686,586343,211.1045904590459,105.55229522952295
CO_TFTU000044,SC011,2024-08-21 07:08:00,2024-08-21 07:05:29,2024-08-21 07:08:00,2024-08-21 07:10:48,836377,150.56291629162916,319.1276327632763,94.883888,0,QC007,WS015.01,1772754,936377,319.1276327632763,168.56471647164716
CO_TFTU000043,SC004,2024-08-21 07:08:00,2024-08-21 07:07:39,2024-08-21 07:10:01,2024-08-21 07:11:46,786787,141.63582358235823,247.26804680468047,0.0,0,QC006,WS010.01,1373574,586787,247.26804680468047,105.63222322232224
CO_TFTU000042,SC008,2024-08-21 07:08:00,2024-08-21 07:06:39,2024-08-21 07:09:01,2024-08-21 07:11:22,786787,141.63582358235823,283.27164716471646,0.0,0,QC006,WS014.01,1573574,786787,283.27164716471646,141.63582358235823
CO_TFTU000046,SC010,2024-08-21 07:09:00,2024-08-21 07:08:04,2024-08-21 07:09:00,2024-08-21 07:09:32,310685,55.92889288928893,88.81044104410441,2.329792,0,QC003,YARD001.36,493342,182657,88.81044104410441,32.88154815481548
CO_TFTU000048,SC012,2024-08-21 07:09:00,2024-08-21 07:08:27,2024-08-21 07:10:13,2024-08-21 07:12:34,586787,105.63222322232224,247.26804680468047,0.0,0,QC006,WS014.01,1373574,786787,247.26804680468047,141.63582358235823
CO_TFTU000045,SC006,2024-08-21 07:09:00,2024-08-21 07:08:13,2024-08-21 07:10:12,2024-08-21 07:10:23,660685,118.93519351935194,130.2210621062106,0.0,0,QC003,YARD001.20,723378,62693,130.2210621062106,11.285868586858685
CO_TFTU000049,SC002,2024-08-21 07:09:00,2024-08-21 07:07:25,2024-08-21 07:09:56,2024-08-21 07:12:27,836787,150.63672367236722,301.27344734473445,0.0,0,QC006,WS015.01,1673574,836787,301.27344734473445,150.63672367236722
CO_TFTU000050,SC016,2024-08-21 07:09:00,2024-08-21 07:06:11,2024-08-21 07:09:00,2024-08-21 07:11:48,936377,168.56471647164716,337.1294329432943,55.582718,0,QC007,WS015.01,1872754,936377,337.1294329432943,168.56471647164716
CO_TFTU000047,SC018,2024-08-21 07:09:00,2024-08-21 07:06:47,2024-08-21 07:09:00,2024-08-21 07:09:42,736343,132.55499549954996,175.1009900990099,154.890009,0,QC005,WS003.01,972686,236343,175.1009900990099,42.545994599459945
CO_TFTU000053,SC010,2024-08-21 07:10:00,2024-08-21 07:09:32,2024-08-21 07:10:09,2024-08-21 07:11:09,202637,36.47830783078308,97.1060306030603,0.0,0,QC006,WS003.01,539424,336787,97.1060306030603,60.62772277227723
CO_TFTU000054,SC014,2024-08-21 07:10:00,2024-08-21 07:09:13,2024-08-21 07:10:32,2024-08-21 07:13:02,436377,78.55571557155716,229.11863186318632,0.0,0,QC007,WS013.01,1272754,836377,229.11863186318632,150.56291629162916
CO_TFTU000052,SC018,2024-08-21 07:10:00,2024-08-21 07:09:42,2024-08-21 07:10:25,2024-08-21 07:10:40,236343,42.545994599459945,57.515751575157516,0.0,0,QC005,YARD001.46,319500,83157,57.515751575157516,14.96975697569757
CO_TFTU000055,SC001,2024-08-21 07:10:00,2024-08-21 07:09:22,2024-08-21 07:10:50,2024-08-21 07:13:39,486377,87.55661566156616,256.12133213321334,0.0,0,QC007,WS015.01,1422754,936377,256.12133213321334,168.56471647164716
CO_TFTU000051,SC009,2024-08-21 07:10:00,2024-08-21 07:09:05,2024-08-21 07:10:33,2024-08-21 07:11:16,486343,87.55049504950495,130.0964896489649,0.0,0,QC005,WS003.01,722686,236343,130.0964896489649,42.545994599459945
CO_TFTU000059,SC018,2024-08-21 07:11:00,2024-08-21 07:10:41,2024-08-21 07:11:00,2024-08-21 07:11:18,102637,18.476507650765075,36.966696669666966,1.461746,0,QC006,YARD001.58,205350,102713,36.966696669666966,18.49018901890189
CO_TFTU000057,SC006,2024-08-21 07:11:00,2024-08-21 07:10:23,2024-08-21 07:11:10,2024-08-21 07:12:56,262193,47.1994599459946,152.75175517551756,0.0,0,QC005,WS012.01,848536,586343,152.75175517551756,105.55229522952295
CO_TFTU000058,SC015,2024-08-21 07:11:00,2024-08-21 07:09:32,2024-08-21 07:11:00,2024-08-21 07:13:30,486343,87.55049504950495,238.1072907290729,12.338433,0,QC005,WS017.01,1322686,836343,238.1072907290729,150.55679567956795
CO_TFTU000060,SC005,2024-08-21 07:11:00,2024-08-21 07:09:20,2024-08-21 07:11:42,2024-08-21 07:14:40,786377,141.56201620162017,319.1276327632763,0.0,0,QC007,WS016.01,1772754,986377,319.1276327632763,177.56561656165616
CO_TFTU000061,SC007,2024-08-21 07:11:00,2024-08-21 07:10:44,2024-08-21 07:13:05,2024-08-21 07:16:03,786377,141.56201620162017,319.1276327632763,0.0,0,QC007,WS016.01,1772754,986377,319.1276327632763,177.56561656165616
CO_TFTU000056,SC011,2024-08-21 07:11:00,2024-08-21 07:10:48,2024-08-21 07:12:56,2024-08-21 07:13:34,711202,128.02916291629163,166.04932493249325,0.0,0,QC004,WS003.01,922404,211202,166.04932493249325,38.02016201620162
CO_TFTU000068,SC018,2024-08-21 07:12:00,2024-08-21 07:11:23,2024-08-21 07:12:00,2024-08-21 07:13:10,203157,36.57191719171917,107.17371737173717,4.937893,0,QC005,YARD001.05,595350,392193,107.17371737173717,70.601800180018
CO_TFTU000066,SC009,2024-08-21 07:12:00,2024-08-21 07:11:21,2024-08-21 07:12:00,2024-08-21 07:12:09,211202,38.02016201620162,47.41278127812781,5.978217,0,QC004,YARD001.31,263378,52176,47.41278127812781,9.392619261926193
CO_TFTU000063,SC010,2024-08-21 07:12:00,2024-08-21 07:11:09,2024-08-21 07:12:05,2024-08-21 07:12:35,310685,55.92889288928893,85.21656165616562,0.0,0,QC003,YARD001.10,473378,162693,85.21656165616562,29.28766876687669
CO_TFTU000067,SC004,2024-08-21 07:12:00,2024-08-21 07:11:46,2024-08-21 07:13:14,2024-08-21 07:13:38,486343,87.55049504950495,112.0946894689469,0.0,0,QC005,WS001.01,622686,136343,112.0946894689469,24.544194419441943
CO_TFTU000062,SC008,2024-08-21 07:12:00,2024-08-21 07:11:22,2024-08-21 07:13:57,2024-08-21 07:15:02,860685,154.93879387938793,219.86858685868586,0.0,0,QC001,WS002.01,1221370,360685,219.86858685868586,64.92979297929793
CO_TFTU000065,SC016,2024-08-21 07:12:00,2024-08-21 07:11:48,2024-08-21 07:14:14,2024-08-21 07:15:19,810685,145.93789378937893,210.86768676867686,0.0,0,QC003,WS004.01,1171370,360685,210.86768676867686,64.92979297929793
CO_TFTU000070,SC019,2024-08-21 07:12:00,2024-08-21 07:09:11,2024-08-21 07:12:00,2024-08-21 07:12:54,936377,168.56471647164716,222.97101710171017,400.798559,0,QC007,YARD001.36,1238604,302227,222.97101710171017,54.40630063006301
CO_TFTU000069,SC013,2024-08-21 07:12:00,2024-08-21 07:09:20,2024-08-21 07:12:00,2024-08-21 07:12:51,886787,159.63762376237625,211.26444644464448,238.80648,0,QC006,WS002.01,1173574,286787,211.26444644464448,51.62682268226823
CO_TFTU000064,SC017,2024-08-21 07:12:00,2024-08-21 07:09:25,2024-08-21 07:12:00,2024-08-21 07:12:49,860685,154.93879387938793,204.02196219621962,327.495589,0,QC003,YARD001.45,1133342,272657,204.02196219621962,49.08316831683168
CO_TFTU000073,SC017,2024-08-21 07:13:00,2024-08-21 07:12:49,2024-08-21 07:13:02,2024-08-21 07:14:29,73157,13.169576957695769,100.72007200720073,0.0,0,QC005,WS010.01,559500,486343,100.72007200720073,87.55049504950495
CO_TFTU000071,SC019,2024-08-21 07:13:00,2024-08-21 07:12:54,2024-08-21 07:13:12,2024-08-21 07:13:46,102193,18.3965796579658,51.94167416741674,0.0,0,QC005,WS002.01,288536,186343,51.94167416741674,33.54509450945095
CO_TFTU000072,SC009,2024-08-21 07:13:00,2024-08-21 07:12:32,2024-08-21 07:13:00,2024-08-21 07:13:58,152193,27.3974797479748,85.3980198019802,23.2099,0,QC005,YARD001.14,474386,322193,85.3980198019802,58.0005400540054
CO_TFTU000075,SC013,2024-08-21 07:13:00,2024-08-21 07:12:51,2024-08-21 07:13:43,2024-08-21 07:14:50,286787,51.62682268226823,118.7081908190819,0.0,0,QC006,YARD001.19,659424,372637,118.7081908190819,67.08136813681368
CO_TFTU000074,SC010,2024-08-21 07:13:00,2024-08-21 07:12:35,2024-08-21 07:13:40,2024-08-21 07:14:20,362193,65.2012601260126,105.2,0.0,0,QC005,YARD001.24,584386,222193,105.2,39.9987398739874
CO_TFTU000077,SC009,2024-08-21 07:14:00,2024-08-21 07:13:58,2024-08-21 07:14:20,2024-08-21 07:17:04,122693,22.086948694869488,186.02664266426643,0.0,0,QC003,WS017.01,1033378,910685,186.02664266426643,163.93969396939693
CO_TFTU000079,SC018,2024-08-21 07:14:00,2024-08-21 07:13:20,2024-08-21 07:14:00,2024-08-21 07:16:46,217317,39.12097209720972,205.96759675967596,10.277227,0,RAIL001.21,WS015.01,1144150,926833,205.96759675967596,166.84662466246624
CO_TFTU000076,SC004,2024-08-21 07:14:00,2024-08-21 07:13:38,2024-08-21 07:14:16,2024-08-21 07:16:42,210685,37.92709270927093,183.86498649864987,0.0,0,QC003,WS015.01,1021370,810685,183.86498649864987,145.93789378937893
